property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.03,0.05,0.04,0.03
Toluene(vol%),0.15,0.16,0.15,0.13
Ethylbenzene(vol%),0.13,0.13,0.13,0.12
Xylenes(vol%),0.45,0.43,0.43,0.41
