property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.26,0.26,0.26,0.24
Toluene(vol%),0.76,0.78,0.78,0.71
Ethylbenzene(vol%),0.23,0.21,0.22,0.21
Xylenes(vol%),1.0,1.02,1.06,0.98
