property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.09,0.07,0.09,0.1
Toluene(vol%),0.19,0.13,0.16,0.15
Ethylbenzene(vol%),0.07,0.07,0.07,0.06
Xylenes(vol%),0.25,0.18,0.21,0.19
