property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.21,0.17,0.18,0.16
Toluene(vol%),0.46,0.35,0.38,0.34
Ethylbenzene(vol%),0.05,0.04,0.05,0.04
Xylenes(vol%),0.44,0.3,0.38,0.35
