property,most_recent,six_month,one_year,five_year
Methylcyclopentane(vol%),2.04,1.6,1.75,1.75
Benzene(vol%),1.01,0.68,0.79,0.79
Cyclohexane(vol%),2.57,2.01,2.2,2.2
Methylcyclohexane(vol%),5.79,4.57,5.03,5.03
Toluene(vol%),3.21,2.33,2.68,2.68
Ethylbenzene(vol%),0.28,0.23,0.25,0.25
m&p-Xylenes(vol%),2.33,1.99,2.16,2.16
o-Xylene(vol%),0.5,0.47,0.49,0.49
"1,2,4-Trimethylbenzene(vol%)",0.49,0.61,0.57,0.57
BTEXTotal(vol%),7.33,5.7,6.37,6.37
