property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.08,0.09,0.08,0.1
Toluene(vol%),0.3,0.25,0.26,0.25
Ethylbenzene(vol%),0.15,0.11,0.12,0.09
Xylenes(vol%),0.55,0.4,0.44,0.37
