property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.06,0.06,0.08,0.06
Toluene(vol%),0.21,0.19,0.23,0.21
Ethylbenzene(vol%),0.13,0.13,0.13,0.12
Xylenes(vol%),0.44,0.43,0.46,0.43
