property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.23,0.22,0.21,0.22
Toluene(vol%),0.49,0.5,0.49,0.51
Ethylbenzene(vol%),0.24,0.26,0.25,0.26
Xylenes(vol%),0.76,0.79,0.77,0.77
