property,most_recent,six_month,one_year,five_year
Benzene(vol%),0.23,0.19,0.2,0.2
Toluene(vol%),0.36,0.29,0.34,0.35
Ethylbenzene(vol%),0.06,0.04,0.04,0.04
Xylenes(vol%),0.34,0.25,0.32,0.33
