percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.1,33.8,93.4,92.8
5,52.7,47.4,126.9,117.3
10,92.5,88.5,198.5,191.3
20,135.7,132.7,276.3,270.9
30,180.6,178.9,357.1,354.0
40,235.5,233.3,455.9,451.9
50,298.7,293.7,569.7,560.7
60,360.3,354.5,680.5,670.1
70,427.4,420.1,801.3,788.2
80,508.5,500.1,947.3,932.2
90,644.4,620.1,"1,191.9","1,148.2"
95,---,690.4,---,"1,274.7"
99,---,---,---,---
