percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.2,33.9,93.6,93.0
5,55.8,48.2,132.4,118.8
10,131.1,112.7,268.0,234.9
20,249.8,247.2,481.6,477.0
30,325.7,327.2,618.3,621.0
40,391.6,394.5,736.9,742.1
50,453.2,458.1,847.8,856.6
60,520.6,530.2,969.1,986.4
70,600.4,612.6,"1,112.7","1,134.7"
80,692.2,699.0,"1,278.0","1,290.2"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
