percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.2,34.0,93.6,93.2
5,50.4,46.7,122.7,116.1
10,126.2,121.3,259.2,250.3
20,267.1,261.1,512.8,502.0
30,342.2,341.0,648.0,645.8
40,408.7,408.1,767.7,766.6
50,469.7,469.4,877.5,876.9
60,538.7,535.8,"1,001.7",996.4
70,618.0,611.1,"1,144.4","1,132.0"
80,707.8,692.9,"1,306.0","1,279.2"
90,---,715.4,---,"1,319.7"
95,---,---,---,---
99,---,---,---,---
