percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.4,34.3,93.9,93.7
5,42.2,40.1,108.0,104.2
10,94.2,79.4,201.6,174.9
20,269.6,259.7,517.3,499.5
30,355.8,353.9,672.4,669.0
40,419.2,418.0,786.6,784.4
50,477.6,479.7,891.7,895.5
60,543.8,548.8,"1,010.8","1,019.8"
70,618.3,624.6,"1,144.9","1,156.3"
80,700.6,700.8,"1,293.1","1,293.4"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
