percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,32.7,34.9,90.9,94.8
5,102.5,84.0,216.5,183.2
10,168.8,161.0,335.8,321.8
20,261.7,262.4,503.1,504.3
30,326.0,328.2,618.8,622.8
40,387.8,390.4,730.0,734.7
50,447.8,451.1,838.0,844.0
60,518.6,520.5,965.5,968.9
70,603.3,602.0,"1,117.9","1,115.6"
80,706.1,691.5,"1,303.0","1,276.7"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
