percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,35.0,35.0,95.0,95.0
5,111.0,109.6,231.8,229.3
10,174.4,166.6,345.9,331.9
20,247.0,242.8,476.6,469.0
30,300.6,300.1,573.1,572.2
40,350.3,352.4,662.5,666.3
50,401.0,408.5,753.8,767.3
60,454.1,472.9,849.4,883.2
70,531.3,559.9,988.3,"1,039.8"
80,639.0,665.2,"1,182.2","1,229.4"
90,---,642.7,---,"1,188.9"
95,---,---,---,---
99,---,---,---,---
