percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.5,35.3,94.1,95.5
5,113.9,127.5,237.0,261.5
10,190.4,188.5,374.7,371.3
20,261.0,258.8,501.8,497.8
30,310.4,309.4,590.7,588.9
40,356.3,355.5,673.3,671.9
50,403.6,405.0,758.5,761.0
60,454.5,462.0,850.1,863.6
70,534.0,545.6,993.2,"1,014.1"
80,653.4,651.1,"1,208.1","1,204.0"
90,---,701.7,---,"1,295.1"
95,---,---,---,---
99,---,---,---,---
