percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.8,34.3,94.6,93.7
5,61.6,43.8,142.9,110.8
10,122.9,90.6,253.2,195.1
20,261.1,242.2,502.0,468.0
30,341.5,333.0,646.7,631.4
40,408.8,403.2,767.8,757.8
50,471.3,469.6,880.3,877.3
60,542.6,543.4,"1,008.7","1,010.1"
70,623.6,624.7,"1,154.5","1,156.5"
80,708.5,703.4,"1,307.3","1,298.1"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
