percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.9,34.2,93.0,93.6
5,75.1,83.7,167.2,182.7
10,144.7,147.5,292.5,297.5
20,257.2,247.6,495.0,477.7
30,332.1,322.2,629.8,612.0
40,398.3,388.5,748.9,731.3
50,460.7,450.6,861.3,843.1
60,532.7,518.3,990.9,964.9
70,620.0,598.4,"1,148.0","1,109.1"
80,715.9,694.7,"1,320.6","1,282.5"
90,---,716.2,---,"1,321.2"
95,---,---,---,---
99,---,---,---,---
