percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.6,34.1,92.5,93.4
5,40.7,39.2,105.3,102.6
10,81.6,74.7,178.9,166.5
20,224.5,223.7,436.1,434.7
30,325.1,331.0,617.2,627.8
40,393.8,402.7,740.8,756.9
50,455.8,468.5,852.4,875.3
60,524.3,543.0,975.7,"1,009.4"
70,605.8,625.8,"1,122.4","1,158.4"
80,691.4,705.3,"1,276.5","1,301.5"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
