percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.8,34.3,92.8,93.7
5,83.6,85.1,182.5,185.2
10,163.0,160.5,325.4,320.9
20,265.1,253.2,509.2,487.8
30,330.1,318.1,626.2,604.6
40,385.7,372.2,726.3,702.0
50,440.6,426.2,825.1,799.2
60,506.0,489.8,942.8,913.6
70,599.7,583.0,"1,111.5","1,081.4"
80,706.6,696.2,"1,303.9","1,285.2"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
