percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.9,35.4,94.8,95.7
5,57.7,68.3,135.9,154.9
10,94.0,104.1,201.2,219.4
20,200.6,203.1,393.1,397.6
30,324.0,319.4,615.2,606.9
40,400.6,392.7,753.1,738.9
50,469.4,460.2,876.9,860.4
60,549.1,538.7,"1,020.4","1,001.7"
70,637.7,624.5,"1,179.9","1,156.1"
80,719.6,702.2,"1,327.3","1,296.0"
90,---,712.1,---,"1,313.8"
95,---,---,---,---
99,---,---,---,---
