percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.3,33.5,91.9,92.3
5,65.3,53.9,149.5,129.0
10,101.2,96.9,214.2,206.4
20,160.2,153.2,320.4,307.8
30,213.1,205.8,415.6,402.4
40,270.2,265.0,518.4,509.0
50,326.5,323.5,619.7,614.3
60,387.2,385.6,729.0,726.1
70,451.0,451.6,843.8,844.9
80,530.2,537.3,986.4,999.1
90,649.3,638.4,"1,200.7","1,181.1"
95,---,694.5,---,"1,282.1"
99,---,---,---,---
