percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.0,34.9,93.2,94.8
5,124.3,112.0,255.7,233.6
10,187.9,175.7,370.2,348.3
20,260.8,259.0,501.4,498.2
30,314.5,316.5,598.1,601.7
40,362.3,366.4,684.1,691.5
50,408.1,415.3,766.6,779.5
60,454.2,468.2,849.6,874.8
70,517.9,545.4,964.2,"1,013.7"
80,638.8,653.2,"1,181.8","1,207.8"
90,---,709.2,---,"1,308.6"
95,---,---,---,---
99,---,---,---,---
