percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,36.7,33.6,98.1,92.5
5,50.3,41.1,122.5,106.0
10,104.1,87.5,219.4,189.5
20,235.1,229.8,455.2,445.6
30,330.3,328.7,626.5,623.7
40,399.2,398.8,750.6,749.8
50,460.9,462.8,861.6,865.0
60,529.5,535.3,985.1,995.5
70,609.6,617.4,"1,129.3","1,143.3"
80,695.0,703.2,"1,283.0","1,297.8"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
