percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.1,11.5,91.6,52.7
5,71.1,43.6,160.0,110.5
10,99.8,81.3,211.6,178.3
20,159.9,129.0,319.8,264.2
30,218.1,183.7,424.6,362.7
40,280.7,238.3,537.3,460.9
50,339.1,293.3,642.4,559.9
60,397.1,350.0,746.8,662.0
70,457.9,412.7,856.2,774.9
80,547.8,490.5,"1,018.0",914.9
90,---,607.6,---,"1,125.7"
95,---,659.1,---,"1,218.4"
99,---,687.4,---,"1,269.3"
