percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,35.0,34.5,95.0,94.1
5,69.5,60.9,157.1,141.6
10,161.9,145.3,323.4,293.5
20,270.5,263.2,518.9,505.8
30,341.1,335.0,646.0,635.0
40,406.6,399.7,763.9,751.5
50,468.1,461.5,874.6,862.7
60,538.3,530.7,"1,000.9",987.3
70,621.5,609.7,"1,150.7","1,129.5"
80,714.6,696.5,"1,318.3","1,285.7"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
