percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.4,34.1,93.9,93.4
5,48.5,54.5,119.3,130.1
10,111.8,105.1,233.2,221.2
20,232.5,215.5,450.5,419.9
30,316.5,307.3,601.7,585.1
40,391.7,384.9,737.1,724.8
50,463.0,459.3,865.4,858.7
60,540.6,539.2,"1,005.1","1,002.6"
70,627.7,625.3,"1,161.9","1,157.5"
80,712.9,705.0,"1,315.2","1,301.0"
90,---,709.2,---,"1,308.6"
95,---,---,---,---
99,---,---,---,---
