percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.1,4.8,93.4,40.6
5,47.1,39.9,116.8,103.8
10,89.7,87.0,193.5,188.6
20,153.8,139.8,308.8,283.6
30,212.5,198.8,414.5,389.8
40,269.8,255.1,517.6,491.2
50,326.3,308.7,619.3,587.7
60,387.2,364.4,729.0,687.9
70,450.7,424.0,843.3,795.2
80,534.9,497.2,994.8,927.0
90,674.3,613.6,"1,245.7","1,136.5"
95,---,680.0,---,"1,256.0"
99,---,---,---,---
