percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.4,16.8,92.1,62.2
5,62.6,48.1,144.7,118.6
10,136.0,111.0,276.8,231.8
20,266.7,243.5,512.1,470.3
30,350.7,328.8,663.3,623.8
40,420.2,398.0,788.4,748.4
50,481.6,461.9,898.9,863.4
60,550.4,530.9,"1,022.7",987.6
70,630.3,609.2,"1,166.5","1,128.6"
80,718.5,693.2,"1,325.3","1,279.8"
90,---,681.5,---,"1,258.7"
95,---,713.7,---,"1,316.7"
99,---,---,---,---
