percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.9,34.6,93.0,94.3
5,66.4,51.0,151.5,123.8
10,111.1,90.8,232.0,195.4
20,194.5,202.8,382.1,397.0
30,315.0,324.6,599.0,616.3
40,392.3,395.2,738.1,743.4
50,457.8,456.9,856.0,854.4
60,531.5,529.9,988.7,985.8
70,619.3,615.8,"1,146.7","1,140.4"
80,707.7,701.4,"1,305.9","1,294.5"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
