percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,33.5,33.7,92.3,92.7
5,36.4,49.5,97.5,121.1
10,49.5,88.4,121.1,191.1
20,94.2,162.9,201.6,325.2
30,129.0,233.2,264.2,451.8
40,185.2,296.5,365.4,565.7
50,264.2,359.4,507.6,678.9
60,343.2,421.2,649.8,790.2
70,428.3,492.1,802.9,917.8
80,534.5,584.0,994.1,"1,083.2"
90,706.3,685.6,"1,303.3","1,266.1"
95,---,692.9,---,"1,279.2"
99,---,---,---,---
