percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,35.6,35.1,96.1,95.2
5,129.4,138.4,264.9,281.1
10,186.3,191.3,367.3,376.3
20,259.7,260.7,499.5,501.3
30,313.6,310.5,596.5,590.9
40,361.9,353.9,683.4,669.0
50,410.8,397.6,771.4,747.7
60,462.6,442.8,864.7,829.0
70,544.8,512.0,"1,012.6",953.6
80,682.0,631.0,"1,259.6","1,167.8"
90,---,710.3,---,"1,310.5"
95,---,---,---,---
99,---,---,---,---
