percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.6,33.9,94.3,93.0
5,94.7,87.1,202.5,188.8
10,152.9,146.5,307.2,295.7
20,243.6,240.1,470.5,464.2
30,316.6,315.2,601.9,599.4
40,387.8,384.8,730.0,724.6
50,456.6,454.1,853.9,849.4
60,531.9,530.2,989.4,986.4
70,618.6,615.0,"1,145.5","1,139.0"
80,708.9,701.8,"1,308.0","1,295.2"
90,---,---,---,---
95,---,---,---,---
99,---,---,---,---
