percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.6,34.7,94.3,94.5
5,92.0,89.6,197.6,193.3
10,158.9,145.7,318.0,294.3
20,246.2,237.7,475.2,459.9
30,311.9,306.0,593.4,582.8
40,369.6,368.6,697.3,695.5
50,427.2,429.8,801.0,805.6
60,502.1,496.3,935.8,925.3
70,582.9,574.1,"1,081.2","1,065.4"
80,686.1,670.5,"1,267.0","1,238.9"
90,---,711.7,---,"1,313.1"
95,---,---,---,---
99,---,---,---,---
