percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.4,33.8,93.9,92.8
5,37.2,49.5,99.0,121.1
10,55.0,88.5,131.0,191.3
20,106.1,138.4,223.0,281.1
30,163.7,191.3,326.7,376.3
40,221.2,249.6,430.2,481.3
50,282.7,309.8,540.9,589.6
60,344.3,372.6,651.7,702.7
70,414.1,444.5,777.4,832.1
80,498.0,535.2,928.4,995.4
90,632.0,650.6,"1,169.6","1,203.1"
95,---,681.3,---,"1,258.3"
99,---,---,---,---
