percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.1,33.7,93.4,92.7
5,66.1,70.0,151.0,158.0
10,101.2,101.2,214.2,214.2
20,160.9,159.6,321.6,319.3
30,217.6,218.9,423.7,426.0
40,275.8,278.6,528.4,533.5
50,334.0,338.0,633.2,640.4
60,396.7,400.8,746.1,753.4
70,462.8,467.9,865.0,874.2
80,546.5,552.5,"1,015.7","1,026.5"
90,673.5,665.1,"1,244.3","1,229.2"
95,---,689.6,---,"1,273.3"
99,---,---,---,---
