percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.4,9.7,93.9,49.5
5,64.3,46.8,147.7,116.2
10,94.2,86.8,201.6,188.2
20,156.8,144.1,314.2,291.4
30,221.8,204.8,431.2,400.6
40,289.9,268.6,553.8,515.5
50,354.3,329.3,669.7,624.7
60,421.0,390.4,789.8,734.7
70,494.7,456.9,922.5,854.4
80,595.7,543.7,"1,104.3","1,010.7"
90,---,655.0,---,"1,211.0"
95,---,667.4,---,"1,233.3"
99,---,704.5,---,"1,300.1"
