percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,-0.5,16.0,31.1,60.8
5,99.2,93.5,210.6,200.3
10,183.1,168.5,361.6,335.3
20,267.3,256.0,513.1,492.8
30,321.6,314.6,610.9,598.3
40,365.6,365.2,690.1,689.4
50,412.0,417.6,773.6,783.7
60,465.9,477.6,870.6,891.7
70,549.9,561.6,"1,021.8","1,042.9"
80,663.2,662.7,"1,225.8","1,224.9"
90,---,702.1,---,"1,295.8"
95,---,---,---,---
99,---,---,---,---
