percentage,recent_C,5_year_C,recent_F,5_year_F
IBP,34.3,33.3,93.7,91.9
5,58.1,56.0,136.6,132.8
10,107.8,98.3,226.0,208.9
20,177.0,160.0,350.6,320.0
30,234.7,220.3,454.5,428.5
40,291.2,275.1,556.2,527.2
50,345.4,326.9,653.7,620.4
60,405.2,383.8,761.4,722.8
70,468.1,441.8,874.6,827.2
80,551.6,515.7,"1,024.9",960.3
90,680.2,622.1,"1,256.4","1,151.8"
95,---,676.9,---,"1,250.4"
99,---,---,---,---
