property,most_recent,six_month,one_year,five_year
Density(kg/m³),927.2,930.2,927.2,924.3
Gravity(°API),21.0,20.5,21.0,21.5
Sulphur(wt%),3.69,3.56,3.46,3.38
MicroCarbonResidue(wt%),9.80,10.28,10.28,9.97
Sediment(ppmw),332,238,205,224
TotalAcidNumber(mgKOH/g),0.96,0.97,0.89,0.88
Salt(ptb),9.7,8.7,8.7,8.1
Nickel(mg/kg),50.4,52.2,51.5,49.1
Vanadium(mg/kg),127.0,127.5,124.1,116.2
Olefins(wt%),---,ND,ND,ND
