property,most_recent,six_month,one_year,five_year
Density(kg/m³),857.5,857.5,855.7,850.7
Gravity(°API),33.4,33.4,33.7,34.7
Sulphur(wt%),1.21,1.21,1.16,1.08
MicroCarbonResidue(wt%),4.3,4.3,4.22,3.91
Nickel(mg/kg),11.6,11.6,12.1,10.8
Vanadium(mg/kg),23.7,23.7,23.6,20.7
