property,most_recent,six_month,one_year,five_year
Density(kg/m³),657.6,660.0,658.7,658.0
Gravity(°API),83.5,82.7,83.1,83.4
Sulphur(wt%),ND,ND,ND,ND
MicroCarbonResidue(wt%),ND,ND,ND,ND
Viscosity@7.5°C(cSt),0.47,0.48,0.48,0.46
Sediment(ppmw),68,111,88,73
