property,most_recent,six_month,one_year,five_year
Density(kg/m³),928.4,931.2,927.4,926.7
Gravity(°API),20.8,20.3,20.9,21.1
Sulphur(wt%),3.44,3.62,3.38,3.38
MicroCarbonResidue(wt%),9.50,10.30,10.24,10.28
Sediment(ppmw),---,392,375,309
TotalAcidNumber(mgKOH/g),1.07,1.02,0.94,1.05
Salt(ptb),---,8.6,10.7,9.7
Nickel(mg/kg),49.3,52.6,52.2,51.8
Vanadium(mg/kg),123.0,127.2,122.5,122.8
Olefins(wt%),---,---,ND,ND
