property,most_recent,six_month,one_year,five_year
Density(kg/m³),839.6,838.8,838.7,838.1
Gravity(°API),36.9,37.0,37.1,37.2
Sulphur(wt%),0.37,0.38,0.33,0.26
MicroCarbonResidue(wt%),2.6,2.66,2.55,2.38
Nickel(mg/kg),5.8,5.3,4.8,3.9
Vanadium(mg/kg),8.5,8.3,6.6,4.4
