property,most_recent,six_month,one_year,five_year
Density(kg/m³),919.4,927.1,924.3,924.3
Gravity(°API),22.3,21.0,21.5,21.5
Sulphur(wt%),4.07,4.08,4.02,3.99
MicroCarbonResidue(wt%),10.20,10.68,10.54,10.44
Sediment(ppmw),---,114.0,113.0,130.0
TotalAcidNumber(mgKOH/g),1.58,1.71,1.68,1.71
Salt(ptb),---,13.1,8.4,5.4
Nickel(mg/kg),65.3,63.7,63.9,63.0
Vanadium(mg/kg),169.0,171.8,171.8,169.2
