property,most_recent,six_month,one_year,five_year
Density(kg/m³),743.9,758.6,760.2,762.1
Gravity(°API),58.5,54.8,54.5,54.0
Sulphur(wt%),0.14,0.12,0.13,0.10
MicroCarbonResidue(wt%),ND,ND,ND,ND
Viscosity@7.5°C(cSt),1.51,1.50,1.46,1.58
Sediment(ppmw),457,177,174,174
