property,most_recent,six_month,one_year,five_year
Density(kg/m³),864.8,862.4,860.8,861.5
Gravity(°API),32.0,32.4,32.7,32.6
Sulphur(wt%),2.17,2.09,2.02,2.09
MicroCarbonResidue(wt%),5.00,4.87,4.83,4.97
Sediment(ppmw),345,302,314.0,418.0
TotalAcidNumber(mgKOH/g),ND,ND,0.12,0.11
Salt(ptb),26.0,16.0,13.5,21.9
Nickel(mg/kg),12.6,11.9,12.2,12.2
Vanadium(mg/kg),23.5,21.2,21.5,21.9
