property,most_recent,six_month,one_year,five_year
Density(kg/m³),844.5,848.2,845.1,838.4
Gravity(°API),35.9,35.2,35.8,37.1
Sulphur(wt%),1.45,1.52,1.41,1.24
MicroCarbonResidue(wt%),3.80,4.04,3.88,3.50
Sediment(ppmw),---,685,527,414
TotalAcidNumber(mgKOH/g),0.15,0.17,0.14,0.17
Salt(ptb),---,52.2,42.8,38.8
Nickel(mg/kg),9.3,13.2,11.9,9.7
Vanadium(mg/kg),17.5,27.5,23.9,18.7
Olefins(wt%),---,---,ND,ND
