property,most_recent,six_month,one_year,five_year
Density(kg/m³),685.6,684.4,689.0,694.7
Gravity(°API),74.7,75.1,73.7,72.1
Sulphur(wt%),0.13,0.08,0.1,0.07
MicroCarbonResidue(wt%),0.28,0.12,0.11,0.11
Viscosity@7.5°C(cSt),0.59,0.58,0.45,0.57
Sediment(ppmw),20.0,49.0,65.0,67.0
