property,most_recent,six_month,one_year,five_year
Density(kg/m³),921.9,930.0,925.4,925.8
Gravity(°API),21.9,20.5,21.3,21.2
Sulphur(wt%),3.81,3.91,3.8,3.82
MicroCarbonResidue(wt%),9.00,9.25,9.13,9.16
Sediment(ppmw),---,132.0,90.0,68.0
TotalAcidNumber(mgKOH/g),1.71,1.91,1.77,1.9
Salt(ptb),---,3.9,4.5,4.5
Nickel(mg/kg),52.3,52.3,52.5,51.9
Vanadium(mg/kg),135.0,136.5,136.5,136.4
