property,most_recent,six_month,one_year,five_year
Density(kg/m³),925.9,918.8,916.8,916.0
Gravity(°API),21.2,22.4,22.7,22.9
Sulphur(wt%),2.85,2.67,2.66,2.66
MicroCarbonResidue(wt%),8.80,8.06,7.98,8.12
Sediment(ppmw),---,137.0,105.0,158.0
TotalAcidNumber(mgKOH/g),0.43,0.34,0.29,0.4
Salt(ptb),---,7.1,7.1,7.5
Nickel(mg/kg),26.5,29.4,28.2,27.0
Vanadium(mg/kg),74.1,78.0,73.1,70.5
