property,most_recent,six_month,one_year,five_year
Density(kg/m³),837.9,836.5,828.9,831.9
Gravity(°API),37.2,37.5,39.1,38.5
Sulphur(wt%),1.87,1.87,1.59,1.52
MicroCarbonResidue(wt%),3.8,3.75,3.09,2.98
Nickel(mg/kg),17.8,18.6,14.2,12.0
Vanadium(mg/kg),47.2,49.1,37.8,33.9
