property,most_recent,six_month,one_year,five_year
Density(kg/m³),932.4,929.3,929.3,931.5
Gravity(°API),20.1,20.6,20.6,20.3
Sulphur(wt%),2.94,2.93,2.93,3.1
MicroCarbonResidue(wt%),6.90,7.15,7.15,7.75
Sediment(ppmw),---,75.0,75.0,47.0
TotalAcidNumber(mgKOH/g),2.01,1.69,1.69,2.0
Salt(ptb),---,2.5,2.5,3.8
Nickel(mg/kg),44.1,39.8,39.8,46.4
Vanadium(mg/kg),116.0,107.5,107.5,125.7
