property,most_recent,six_month,one_year,five_year
Density(kg/m³),656.7,664.1,664.1,667.0
Gravity(°API),83.8,81.4,81.4,80.5
Sulphur(wt%),ND,ND,ND,ND
MicroCarbonResidue(wt%),ND,ND,ND,ND
Viscosity@7.5°C(cSt),0.48,0.48,0.47,0.46
Sediment(ppmw),19,37,30,22
