property,most_recent,six_month,one_year,five_year
C3-(vol%),0.24,0.2,0.28,0.3
iC4iso-Butane(vol%),1.08,0.78,0.9,1.05
nC4n-Butane(vol%),2.54,2.22,2.37,2.54
iC5iso-Pentane(vol%),4.06,3.6,2.76,2.74
nC5n-Pentane(vol%),4.08,4.0,3.22,3.16
C6Hexanes(vol%),6.45,6.74,5.79,6.89
C7Heptanes(vol%),5.98,6.1,5.93,7.24
C8Octanes(vol%),5.34,5.48,5.63,6.32
C9Nonanes(vol%),4.16,4.48,4.65,4.77
C10Decanes(vol%),2.27,2.73,2.67,2.56
