property,most_recent,six_month,one_year,five_year
C3-(vol%),0.02,0.01,0.01,ND
iC4iso-Butane(vol%),0.18,0.15,0.16,0.16
nC4n-Butane(vol%),0.54,0.53,0.5,0.41
iC5iso-Pentane(vol%),0.63,0.62,0.73,0.76
nC5n-Pentane(vol%),0.78,0.82,0.86,0.78
C6Hexanes(vol%),2.19,2.08,2.12,2.05
C7Heptanes(vol%),2.42,2.2,2.22,2.27
C8Octanes(vol%),3.22,2.94,2.98,3.01
C9Nonanes(vol%),3.05,2.86,2.9,2.68
C10Decanes(vol%),1.36,1.41,1.41,1.27
