property,most_recent,six_month,one_year,five_year
C3-(vol%),0.34,0.29,0.32,0.35
iC4iso-Butane(vol%),1.96,1.77,1.87,1.8
nC4n-Butane(vol%),3.54,3.23,3.39,3.5
iC5iso-Pentane(vol%),1.35,1.56,1.36,1.32
nC5n-Pentane(vol%),1.61,1.84,1.63,1.6
C6Hexanes(vol%),4.43,4.67,4.46,4.43
C7Heptanes(vol%),5.39,5.47,5.43,5.48
C8Octanes(vol%),5.45,5.42,5.48,5.53
C9Nonanes(vol%),4.59,4.59,4.61,4.72
C10Decanes(vol%),2.22,2.18,2.17,2.24
