property,most_recent,six_month,one_year,five_year
C3-(vol%),0.44,0.56,0.59,0.58
iC4iso-Butane(vol%),1.03,1.07,1.11,1.22
nC4n-Butane(vol%),2.62,2.77,2.8,2.98
iC5iso-Pentane(vol%),1.4,1.66,1.61,1.53
nC5n-Pentane(vol%),1.82,2.06,2.02,1.94
C6Hexanes(vol%),5.85,6.74,6.51,6.2
C7Heptanes(vol%),7.18,8.34,8.0,7.63
C8Octanes(vol%),7.0,7.84,7.52,7.25
C9Nonanes(vol%),6.29,6.06,5.72,5.78
C10Decanes(vol%),3.58,3.25,3.03,3.08
