property,most_recent,six_month,one_year,five_year
C3-(vol%),0.05,0.05,0.06,0.07
iC4iso-Butane(vol%),0.29,0.39,0.4,0.33
nC4n-Butane(vol%),1.03,1.15,1.08,1.01
iC5iso-Pentane(vol%),4.22,4.07,3.95,3.9
nC5n-Pentane(vol%),4.67,4.46,4.32,4.2
C6Hexanes(vol%),5.81,5.54,5.47,5.44
C7Heptanes(vol%),3.75,3.39,3.48,3.52
C8Octanes(vol%),2.6,2.32,2.47,2.51
C9Nonanes(vol%),1.3,1.2,1.3,1.36
C10Decanes(vol%),0.62,0.57,0.64,0.65
