property,most_recent,six_month,one_year,five_year
C3-(vol%),0.18,0.24,0.26,0.31
iC4iso-Butane(vol%),0.24,0.28,0.27,0.26
nC4n-Butane(vol%),0.97,1.08,1.01,0.95
iC5iso-Pentane(vol%),1.09,1.15,1.04,0.93
nC5n-Pentane(vol%),1.53,1.58,1.45,1.33
C6Hexanes(vol%),5.14,5.15,4.76,4.56
C7Heptanes(vol%),6.22,6.18,5.82,5.73
C8Octanes(vol%),7.32,7.29,7.05,6.98
C9Nonanes(vol%),6.03,6.14,6.04,5.89
C10Decanes(vol%),2.71,2.68,2.74,2.79
